     TIME STAMP	STEP COUNT	     X	     Y	     Z	  Distance	    degree	    latitude	   longitude	    GpsAccuracy	 indoor_outdoor_flag	   TagName

   12:11:16.507	        0	 -0,00	 -0,00	 -0,00	      0,00	    354,00	   53,142262	    8,202144	          20,82	                   I	          
   12:11:18.937	        1	 -0,07	  1,48	 -0,00	      1,48	     98,00	   53,142262	    8,202144	          20,82	                   I	          
   12:11:20.229	        2	 -1,18	  2,57	 -0,00	      3,04	    158,00	   53,142261	    8,202158	          23,76	                   I	          
   12:11:21.434	        3	 -2,52	  3,46	 -0,00	      4,65	    128,00	   53,142261	    8,202158	          23,76	                   I	          
   12:11:22.604	        4	 -4,01	  4,12	 -0,00	      6,28	    125,00	   53,142261	    8,202158	          23,76	                   I	          
   12:11:23.815	        5	 -5,41	  4,98	 -0,00	      7,92	    140,00	   53,142261	    8,202158	          23,76	                   I	          
   12:11:24.994	        6	 -6,52	  6,14	 -0,00	      9,53	    158,00	   53,142279	    8,202109	          19,48	                   I	          
   12:11:26.264	        7	 -7,62	  7,35	 -0,00	     11,16	    169,00	   53,142279	    8,202109	          19,48	                   I	          
   12:11:27.427	        8	 -8,83	  8,53	 -0,00	     12,85	    105,00	   53,142279	    8,202109	          19,48	                   I	          
   12:11:28.595	        9	 -9,77	  9,89	 -0,00	     14,50	     75,00	   53,142279	    8,202109	          19,48	                   I	          
   12:11:29.824	       10	-10,21	 11,52	 -0,00	     16,19	     56,00	   53,142304	    8,202119	          15,37	                   I	          
   12:11:31.037	       11	 -9,75	 13,14	 -0,00	     17,88	     72,00	   53,142304	    8,202119	          15,37	                   I	          
   12:11:32.262	       12	 -9,21	 14,63	 -0,00	     19,46	     71,00	   53,142304	    8,202119	          15,37	                   I	          
   12:11:33.583	       13	 -8,57	 16,15	 -0,00	     21,11	     48,00	   53,142304	    8,202119	          15,37	                   I	          
   12:11:34.792	       14	 -8,41	 17,69	 -0,00	     22,65	    141,00	   53,142329	    8,202182	          16,06	                   I	          
   12:11:35.723	       15	 -8,62	 17,90	 -0,00	     22,95	    148,00	   53,142329	    8,202182	          16,06	                   I	          
   12:11:38.795	       16	 -9,78	 18,92	 -0,00	     24,51	    139,00	   53,142329	    8,202182	          16,06	                   I	          
   12:11:41.529	       17	-11,58	 21,34	 -0,00	     27,52	     56,00	   53,142299	    8,202110	          15,39	                   I	          
   12:11:42.977	       18	-12,49	 22,39	 -0,00	     28,91	    147,00	   53,142299	    8,202110	          15,39	                   I	          
   12:11:44.386	       19	-13,86	 23,01	 -0,00	     30,41	    146,00	   53,142299	    8,202110	          15,39	                   I	          
   12:11:45.621	       20	-15,15	 23,23	 -0,00	     31,72	    156,00	   53,142286	    8,202092	          15,64	                   I	          
   12:11:46.642	       21	-15,31	 23,15	 -0,00	     31,89	    151,00	   53,142286	    8,202092	          15,64	                   I	          
   12:11:57.470	       22	-14,58	 23,37	 -0,00	     32,66	    101,00	   53,142295	    8,202096	          14,40	                   I	       ll6
   12:11:58.934	       23	-13,02	 22,73	 -0,00	     34,34	     74,00	   53,142295	    8,202096	          14,40	                   I	          
   12:12:00.196	       24	-11,67	 21,68	 -0,00	     36,06	    108,00	   53,142295	    8,202096	          14,40	                   I	          
   12:12:01.458	       25	-10,79	 20,23	 -0,00	     37,75	    108,00	   53,142295	    8,202096	          14,40	                   I	          
   12:12:02.876	       26	 -9,71	 18,89	 -0,00	     39,47	    110,00	   53,142295	    8,202096	          14,40	                   I	          
   12:12:09.272	       27	 -8,67	 17,68	 -0,00	     41,07	    109,00	   53,142279	    8,202096	          16,40	                   I	          
   12:12:15.071	       28	 -9,28	 17,91	 -0,00	     41,79	    100,00	   53,142310	    8,202162	          16,28	                   I	          
   12:12:18.481	       29	 -7,86	 18,90	 -0,00	     43,52	     60,00	   53,142308	    8,202160	          15,25	                   I	          
   12:12:19.652	       30	 -6,74	 20,19	 -0,00	     45,23	     55,00	   53,142308	    8,202160	          15,25	                   I	          
   12:12:20.870	       31	 -5,81	 21,57	 -0,00	     46,89	     81,00	   53,142311	    8,202145	          15,84	                   I	          
   12:12:22.126	       32	 -4,96	 23,06	 -0,00	     48,61	     73,00	   53,142311	    8,202145	          15,84	                   I	          
   12:12:23.286	       33	 -4,01	 24,45	 -0,00	     50,29	     64,00	   53,142311	    8,202145	          15,84	                   I	          
   12:12:24.616	       34	 -3,32	 25,90	 -0,00	     51,90	     53,00	   53,142311	    8,202145	          15,84	                   I	          
   12:12:25.880	       35	 -2,94	 27,50	 -0,00	     53,55	     90,00	   53,142346	    8,202227	          17,32	                   I	          
   12:12:27.678	       36	 -2,90	 27,63	 -0,00	     53,68	    155,00	   53,142346	    8,202227	          17,32	                   I	          
   12:12:29.449	       37	 -3,50	 28,94	 -0,00	     55,12	    131,00	   53,142346	    8,202227	          17,32	                   I	          
   12:12:30.754	       38	 -4,63	 29,93	 -0,00	     56,62	    155,00	   53,142343	    8,202129	          17,05	                   I	          
   12:12:32.125	       39	 -6,02	 30,36	 -0,00	     58,07	    169,00	   53,142343	    8,202129	          17,05	                   I	          
   12:12:33.483	       40	 -6,75	 30,26	 -0,00	     58,81	    139,00	   53,142343	    8,202129	          17,05	                   I	          
   12:12:44.396	       41	 -6,13	 30,27	 -0,00	     59,44	     94,00	   53,142342	    8,202036	          20,51	                   I	       ll7
   12:12:46.308	       42	 -4,75	 29,52	 -0,00	     61,02	     84,00	   53,142330	    8,202058	          17,07	                   I	          
   12:12:49.469	       43	 -3,52	 28,85	 -0,00	     62,42	     84,00	   53,142330	    8,202058	          17,07	                   I	          
   12:12:50.852	       44	 -2,21	 28,11	 -0,00	     63,92	     61,00	   53,142329	    8,202079	          17,14	                   I	          
   12:12:52.363	       45	 -1,13	 29,28	 -0,00	     65,52	     32,00	   53,142329	    8,202079	          17,14	                   I	          
   12:12:53.573	       46	 -0,29	 30,77	 -0,00	     67,23	     44,00	   53,142329	    8,202079	          17,14	                   I	          
   12:12:54.740	       47	  0,60	 32,23	 -0,00	     68,94	     37,00	   53,142329	    8,202079	          17,14	                   I	          
   12:12:55.965	       48	  1,40	 33,68	 -0,00	     70,59	     40,00	   53,142337	    8,202108	          17,88	                   I	          
   12:12:57.175	       49	  2,37	 35,03	 -0,00	     72,26	     34,00	   53,142337	    8,202108	          17,88	                   I	          
   12:12:58.397	       50	  3,17	 36,47	 -0,00	     73,90	     40,00	   53,142337	    8,202108	          17,88	                   I	          
   12:12:59.964	       51	  3,56	 38,05	 -0,00	     75,53	     62,00	   53,142337	    8,202108	          17,88	                   I	          
   12:13:03.080	       52	  2,57	 39,29	 -0,00	     77,13	     86,00	   53,142364	    8,202140	          19,29	                   I	          
   12:13:04.307	       53	  1,54	 40,51	 -0,00	     78,72	     40,00	   53,142364	    8,202140	          19,29	                   I	          
   12:13:05.614	       54	  0,88	 41,97	 -0,00	     80,32	     74,00	   53,142373	    8,202082	          15,87	                   I	          
   12:13:07.316	       55	 -0,28	 43,17	 -0,00	     81,99	     67,00	   53,142373	    8,202082	          15,87	                   I	          
   12:13:25.257	       56	  1,86	 41,67	 -0,00	     84,63	     89,00	   53,142364	    8,201998	          16,57	                   I	       ll8
   12:13:26.675	       57	  2,38	 40,09	 -0,00	     86,29	     98,00	   53,142364	    8,201998	          16,57	                   I	          
   12:13:28.476	       58	  3,17	 39,02	  0,10	     87,62	     94,00	   53,142364	    8,201998	          16,57	                   I	          
   12:13:30.046	       59	  4,54	 38,26	  0,10	     89,19	     68,00	   53,142364	    8,201998	          16,57	                   I	          
   12:13:31.263	       60	  6,04	 38,87	  0,10	     90,81	     49,00	   53,142351	    8,202176	          17,70	                   I	          
   12:13:32.524	       61	  7,68	 39,19	  0,10	     92,48	     46,00	   53,142351	    8,202176	          17,70	                   I	          
   12:13:33.797	       62	  9,22	 39,79	  0,10	     94,14	     56,00	   53,142351	    8,202176	          17,70	                   I	          
   12:13:34.970	       63	 10,49	 40,77	  0,10	     95,74	     40,00	   53,142351	    8,202176	          17,70	                   I	          
   12:13:36.281	       64	 11,34	 42,06	  0,10	     97,28	     33,00	   53,142428	    8,202234	          17,43	                   I	          
   12:13:37.561	       65	 11,32	 43,58	  0,10	     98,81	     14,00	   53,142428	    8,202234	          17,43	                   I	          
   12:13:38.820	       66	 10,96	 45,10	  0,10	    100,37	     26,00	   53,142428	    8,202234	          17,43	                   I	          
